date,rank,source,target,attention
2019-01-31,3,Asset_7,Asset_28,0.031292
2019-01-31,4,Asset_12,Asset_28,0.031292
2019-01-31,5,Asset_13,Asset_28,0.031292
2019-02-01,1,Asset_25,Asset_17,0.031283
2019-02-01,2,Asset_31,Asset_17,0.031283
2019-02-01,3,Asset_0,Asset_17,0.031283
2019-02-01,4,Asset_2,Asset_17,0.031283
2019-02-01,5,Asset_4,Asset_17,0.031283
2019-02-04,1,Asset_25,Asset_28,0.031274
2019-02-04,2,Asset_0,Asset_28,0.031274
2019-02-04,3,Asset_1,Asset_28,0.031274
2019-02-04,4,Asset_2,Asset_28,0.031274
2019-02-04,5,Asset_3,Asset_28,0.031274
2019-02-05,1,Asset_0,Asset_17,0.031281
2019-02-05,2,Asset_1,Asset_17,0.031281
2019-02-05,3,Asset_2,Asset_17,0.031281
2019-02-05,4,Asset_3,Asset_17,0.031281
2019-02-05,5,Asset_4,Asset_17,0.031281
2019-02-06,1,Asset_0,Asset_21,0.031268
2019-02-06,2,Asset_1,Asset_21,0.031268
2019-02-06,3,Asset_2,Asset_21,0.031268
2019-02-06,4,Asset_3,Asset_21,0.031268
2019-02-06,5,Asset_4,Asset_21,0.031268
2019-02-07,1,Asset_0,Asset_21,0.031273
2019-02-07,2,Asset_1,Asset_21,0.031273
2019-02-07,3,Asset_2,Asset_21,0.031273
2019-02-07,4,Asset_3,Asset_21,0.031273
2019-02-07,5,Asset_4,Asset_21,0.031273
2019-02-08,1,Asset_2,Asset_21,0.031267
2019-02-08,2,Asset_14,Asset_21,0.031267
2019-02-08,3,Asset_16,Asset_21,0.031267
2019-02-08,4,Asset_18,Asset_21,0.031267
2019-02-08,5,Asset_23,Asset_21,0.031267
2019-02-11,1,Asset_0,Asset_13,0.031263
2019-02-11,2,Asset_2,Asset_13,0.031263
2019-02-11,3,Asset_14,Asset_13,0.031263
2019-02-11,4,Asset_16,Asset_13,0.031263
2019-02-11,5,Asset_29,Asset_13,0.031263
2019-02-12,1,Asset_1,Asset_17,0.031253
2019-02-12,2,Asset_2,Asset_17,0.031253
2019-02-12,3,Asset_9,Asset_17,0.031253
2019-02-12,4,Asset_10,Asset_17,0.031253
2019-02-12,5,Asset_13,Asset_17,0.031253
2019-02-13,1,Asset_0,Asset_8,0.03126
2019-02-13,2,Asset_1,Asset_8,0.03126
2019-02-13,3,Asset_2,Asset_8,0.03126
2019-02-13,4,Asset_3,Asset_8,0.03126
2019-02-13,5,Asset_4,Asset_8,0.03126
2019-02-14,1,Asset_0,Asset_13,0.031284
2019-02-14,2,Asset_1,Asset_13,0.031284
2019-02-14,3,Asset_3,Asset_13,0.031284
2019-02-14,4,Asset_5,Asset_13,0.031284
2019-02-14,5,Asset_7,Asset_13,0.031284
2019-02-15,1,Asset_2,Asset_28,0.031263
2019-02-15,2,Asset_6,Asset_28,0.031263
2019-02-15,3,Asset_0,Asset_28,0.031263
2019-02-15,4,Asset_1,Asset_28,0.031263
2019-02-15,5,Asset_3,Asset_28,0.031263
2019-02-19,1,Asset_2,Asset_28,0.031269
2019-02-19,2,Asset_3,Asset_28,0.031269
2019-02-19,3,Asset_4,Asset_28,0.031269
2019-02-19,4,Asset_8,Asset_28,0.031269
2019-02-19,5,Asset_11,Asset_28,0.031269
2019-02-20,1,Asset_28,Asset_21,0.031321
2019-02-20,2,Asset_5,Asset_21,0.031321
2019-02-20,3,Asset_8,Asset_21,0.031321
2019-02-20,4,Asset_9,Asset_21,0.031321
2019-02-20,5,Asset_12,Asset_21,0.031321
2019-02-21,1,Asset_2,Asset_28,0.031356
2019-02-21,2,Asset_7,Asset_28,0.031356
2019-02-21,3,Asset_9,Asset_28,0.031356
2019-02-21,4,Asset_3,Asset_28,0.031356
2019-02-21,5,Asset_5,Asset_28,0.031356
2019-02-22,1,Asset_6,Asset_28,0.031345
2019-02-22,2,Asset_10,Asset_28,0.031345
2019-02-22,3,Asset_11,Asset_28,0.031345
2019-02-22,4,Asset_13,Asset_28,0.031345
2019-02-22,5,Asset_16,Asset_28,0.031345
2019-02-25,1,Asset_25,Asset_21,0.031373
2019-02-25,2,Asset_26,Asset_21,0.031373
2019-02-25,3,Asset_10,Asset_21,0.031373
2019-02-25,4,Asset_22,Asset_21,0.031373
2019-02-25,5,Asset_30,Asset_21,0.031373
2019-02-26,1,Asset_1,Asset_21,0.031341
2019-02-26,2,Asset_2,Asset_21,0.031341
2019-02-26,3,Asset_5,Asset_21,0.031341
2019-02-26,4,Asset_7,Asset_21,0.031341
2019-02-26,5,Asset_12,Asset_21,0.031341
2019-02-27,1,Asset_1,Asset_3,0.031425
2019-02-27,2,Asset_2,Asset_3,0.031425
2019-02-27,3,Asset_12,Asset_3,0.031425
2019-02-27,4,Asset_15,Asset_3,0.031425
2019-02-27,5,Asset_18,Asset_3,0.031425
2019-02-28,1,Asset_1,Asset_3,0.031435
2019-02-28,2,Asset_6,Asset_3,0.031435
2019-02-28,3,Asset_9,Asset_3,0.031435
2019-02-28,4,Asset_14,Asset_3,0.031435
2019-02-28,5,Asset_10,Asset_3,0.031435
2019-03-01,1,Asset_3,Asset_18,0.031668
2019-03-01,2,Asset_11,Asset_18,0.031668
2019-03-01,3,Asset_12,Asset_18,0.031668
2019-03-01,4,Asset_15,Asset_18,0.031668
2019-03-01,5,Asset_27,Asset_18,0.031668
2019-03-04,1,Asset_8,Asset_18,0.031552
2019-03-04,2,Asset_9,Asset_18,0.031552
2019-03-04,3,Asset_12,Asset_18,0.031552
2019-03-04,4,Asset_17,Asset_18,0.031552
2019-03-04,5,Asset_20,Asset_18,0.031552
2019-03-05,1,Asset_25,Asset_18,0.031347
2019-03-05,2,Asset_4,Asset_18,0.031347
2019-03-05,3,Asset_5,Asset_18,0.031347
2019-03-05,4,Asset_6,Asset_18,0.031347
2019-03-05,5,Asset_7,Asset_18,0.031347
2019-03-06,1,Asset_13,Asset_18,0.03169
2019-03-06,2,Asset_1,Asset_18,0.03169
2019-03-06,3,Asset_4,Asset_18,0.03169
2019-03-06,4,Asset_11,Asset_18,0.03169
2019-03-06,5,Asset_27,Asset_18,0.03169
2019-03-07,1,Asset_5,Asset_18,0.032085
2019-03-07,2,Asset_10,Asset_18,0.032085
2019-03-07,3,Asset_17,Asset_18,0.032085
2019-03-07,4,Asset_21,Asset_18,0.032085
2019-03-07,5,Asset_23,Asset_18,0.032085
2019-03-08,1,Asset_5,Asset_18,0.031975
2019-03-08,2,Asset_10,Asset_18,0.031975
2019-03-08,3,Asset_11,Asset_18,0.031975
2019-03-08,4,Asset_19,Asset_18,0.031975
2019-03-08,5,Asset_24,Asset_18,0.031975
2019-03-11,1,Asset_18,Asset_6,0.031512
2019-03-11,2,Asset_8,Asset_6,0.031512
2019-03-11,3,Asset_13,Asset_6,0.031512
2019-03-11,4,Asset_14,Asset_6,0.031512
2019-03-11,5,Asset_19,Asset_6,0.031512
2019-03-12,1,Asset_18,Asset_3,0.031414
2019-03-12,2,Asset_8,Asset_3,0.031414
2019-03-12,3,Asset_13,Asset_3,0.031414
2019-03-12,4,Asset_22,Asset_3,0.031414
2019-03-12,5,Asset_1,Asset_3,0.031414
2019-03-13,1,Asset_4,Asset_28,0.031521
2019-03-13,2,Asset_11,Asset_28,0.031521
2019-03-13,3,Asset_19,Asset_28,0.031521
2019-03-13,4,Asset_7,Asset_28,0.031521
2019-03-13,5,Asset_20,Asset_28,0.031521
2019-03-14,1,Asset_0,Asset_18,0.031362
2019-03-14,2,Asset_3,Asset_18,0.031362
2019-03-14,3,Asset_10,Asset_18,0.031362
2019-03-14,4,Asset_15,Asset_18,0.031362
2019-03-14,5,Asset_29,Asset_18,0.031362
2019-03-15,1,Asset_24,Asset_20,0.03131
2019-03-15,2,Asset_15,Asset_20,0.03131
2019-03-15,3,Asset_30,Asset_20,0.03131
2019-03-15,4,Asset_5,Asset_20,0.03131
2019-03-15,5,Asset_7,Asset_20,0.03131
2019-03-18,1,Asset_24,Asset_18,0.03156
2019-03-18,2,Asset_0,Asset_18,0.03156
2019-03-18,3,Asset_21,Asset_18,0.03156
2019-03-18,4,Asset_2,Asset_18,0.03156
2019-03-18,5,Asset_3,Asset_18,0.03156
2019-03-19,1,Asset_24,Asset_18,0.031505
2019-03-19,2,Asset_8,Asset_18,0.031505
2019-03-19,3,Asset_23,Asset_18,0.031505
2019-03-19,4,Asset_6,Asset_18,0.031505
2019-03-19,5,Asset_20,Asset_18,0.031505
2019-03-20,1,Asset_4,Asset_25,0.031344
2019-03-20,2,Asset_18,Asset_25,0.031344
2019-03-20,3,Asset_28,Asset_25,0.031344
2019-03-20,4,Asset_3,Asset_25,0.031344
2019-03-20,5,Asset_8,Asset_25,0.031344
2019-03-21,1,Asset_3,Asset_28,0.031451
2019-03-21,2,Asset_18,Asset_28,0.031451
2019-03-21,3,Asset_13,Asset_28,0.031451
2019-03-21,4,Asset_20,Asset_28,0.031451
2019-03-21,5,Asset_0,Asset_28,0.031451
2019-03-22,1,Asset_12,Asset_3,0.031369
2019-03-22,2,Asset_0,Asset_3,0.031368
2019-03-22,3,Asset_22,Asset_3,0.031368
2019-03-22,4,Asset_26,Asset_3,0.031368
2019-03-22,5,Asset_4,Asset_3,0.031368
2019-03-25,1,Asset_12,Asset_16,0.031358
2019-03-25,2,Asset_3,Asset_16,0.031358
2019-03-25,3,Asset_18,Asset_16,0.031358
2019-03-25,4,Asset_5,Asset_16,0.031358
2019-03-25,5,Asset_6,Asset_16,0.031358
2019-03-26,1,Asset_13,Asset_28,0.031543
2019-03-26,2,Asset_20,Asset_28,0.031543
2019-03-26,3,Asset_23,Asset_28,0.031543
2019-03-26,4,Asset_29,Asset_28,0.031543
