Name,Ann Return (%),Ann Vol (%),Sharpe,Sortino,Max DD (%),Calmar,Skewness,Kurtosis,Tracking Error (%),Corr w/ SPY
Clone + GNN Supervisor,13.77,11.19,1.052,1.452,-17.74,0.776,0.033,5.145,12.93,0.788
Clone (unsupervised),14.48,18.06,0.691,0.801,-37.8,0.383,-0.866,27.786,10.26,0.86
SPY Buy & Hold,16.74,19.8,0.745,0.903,-34.1,0.491,-0.303,13.862,0.0,1.0
VIX Rule-Based,12.66,12.96,0.823,1.161,-21.1,0.6,-0.315,1.472,13.34,0.75
Static 60/40,9.49,10.84,0.691,0.8,-24.08,0.394,-0.866,27.786,11.93,0.86
Equal-Weight TSX,17.37,16.89,0.91,1.036,-35.98,0.483,-1.116,26.954,10.47,0.852
