Name,Ann Return (%),Ann Vol (%),Sharpe,Sortino,Max DD (%),Calmar,Skewness,Kurtosis,Tracking Error (%),Corr w/ SPY
Clone + GNN Supervisor,8.1,9.86,0.619,0.738,-16.93,0.479,-0.794,8.718,14.82,0.752
Clone (unsupervised),13.35,19.14,0.593,0.691,-37.8,0.353,-0.831,25.392,10.66,0.864
SPY Buy & Hold,14.66,20.76,0.61,0.748,-34.1,0.43,-0.272,13.13,0.0,1.0
VIX Rule-Based,11.75,13.52,0.721,1.033,-21.1,0.557,-0.292,1.264,14.09,0.748
Static 60/40,8.81,11.48,0.593,0.69,-24.08,0.366,-0.831,25.392,12.41,0.864
Equal-Weight TSX,16.03,17.85,0.786,0.896,-35.98,0.445,-1.082,24.923,10.83,0.856
