experiment,features_removed,features_remaining,sharpe,max_drawdown,ann_return
Full Model (Baseline),0,38,0.583,,
Remove Volatility,14,24,0.612,,
Remove Macro (MOVE/DXY),6,32,0.577,,
Remove Yield Curve,6,32,0.588,,
Remove Credit Spreads,6,32,0.598,,
Remove Downside Risk,1,37,0.6,,
Remove Momentum,3,35,0.585,,
